"id","current_rate","timestamp"
"148","60426.81","2024-05-03 21:00:03"
"149","61541.41","2024-05-03 22:00:03"
"150","61754.33","2024-05-03 23:00:03"
"151","61608.07","2024-05-04 00:00:04"
"152","61983.45","2024-05-04 01:00:03"
"153","61938.52","2024-05-04 02:00:02"
"154","61836.74","2024-05-04 03:00:04"
"155","61920.64","2024-05-04 04:00:03"
"156","62920.94","2024-05-04 05:00:03"
"157","62612.48","2024-05-04 06:00:04"
"158","62947.86","2024-05-04 07:00:02"
"159","63027.46","2024-05-04 08:00:03"
"160","62860.71","2024-05-04 09:00:03"
"161","62924.66","2024-05-04 10:00:03"
"162","62712.08","2024-05-04 11:00:03"
"163","62760.83","2024-05-04 12:00:02"
"164","62806.99","2024-05-04 13:00:03"
"165","63210.59","2024-05-04 14:00:02"
"166","63026.83","2024-05-04 15:00:03"
"167","63107.05","2024-05-04 16:00:02"
"168","63012.49","2024-05-04 17:00:03"
"169","63148.62","2024-05-04 18:00:04"
"170","63493.57","2024-05-04 19:00:02"
"171","64135.79","2024-05-04 20:00:03"
"172","63880.17","2024-05-04 21:00:02"
"173","63698.94","2024-05-04 22:00:05"
"174","63816.42","2024-05-04 23:00:03"
"175","63570.70","2024-05-05 00:00:04"
"176","63522.97","2024-05-05 01:00:03"
"177","63572.26","2024-05-05 02:00:03"
"178","63699.70","2024-05-05 03:00:03"
"179","63633.62","2024-05-05 04:00:04"
"180","63926.57","2024-05-05 05:00:03"
"181","63598.13","2024-05-05 06:00:02"
"182","63700.97","2024-05-05 07:00:03"
"183","63910.87","2024-05-05 08:00:03"
"184","63820.04","2024-05-05 09:00:03"
"185","63045.05","2024-05-05 10:00:02"
"186","63333.46","2024-05-05 11:00:03"
"187","63132.09","2024-05-05 12:00:03"
"188","63347.61","2024-05-05 13:00:03"
"189","63305.31","2024-05-05 14:00:03"
"190","63414.07","2024-05-05 15:00:03"
"191","63818.37","2024-05-05 16:00:03"
"192","63843.23","2024-05-05 17:00:03"
"193","63703.68","2024-05-05 18:00:04"
"194","63655.44","2024-05-05 19:00:03"
"195","63897.20","2024-05-05 20:00:02"
"196","63752.51","2024-05-05 21:00:03"
"197","64139.42","2024-05-05 22:00:03"
"198","63996.08","2024-05-05 23:00:04"
"199","64387.79","2024-05-06 00:00:05"
"200","64346.27","2024-05-06 01:00:05"
"201","64262.92","2024-05-06 02:00:03"
"202","63989.75","2024-05-06 03:00:02"
"203","63878.65","2024-05-06 04:00:03"
"204","63708.38","2024-05-06 05:00:04"
"205","63732.16","2024-05-06 06:00:04"
"206","63805.67","2024-05-06 07:00:03"
"207","64038.46","2024-05-06 08:00:02"
"208","64193.03","2024-05-06 09:00:03"
"209","64178.62","2024-05-06 10:00:03"
"210","63866.33","2024-05-06 12:00:04"
